town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Albany,Orleans,99.0,57.58,63981,0,4.890662375935646,-0.5395718960998024,1.0222569425547983,-0.11269653271059353,0.17019199108807537,2.522
Alburg,Grand Isle,194.0,67.53,86639,0,4.074744180812517,0.6053025149266745,5.133746479027042,0.5574218076567714,-0.2235816862375429,0.688
Arlington,Bennington,489.0,33.95,68558,0,0.7070807611781705,1.2012090136991467,-1.292359017667736,-0.928457673762608,-0.27588258163783,0.451
Ascutney,Windsor,262.0,28.63,69492,0,-0.5312301243882306,-0.9767910094661902,0.6168284229561384,0.1779311722561223,0.5418870692655463,-0.003
Bakersfield,Franklin,144.0,36.11,73633,0,0.6950053867056455,-0.9408825239442968,0.6901607415601886,-0.17671463878574778,-0.006539556139968789,0.037
Barnard,Windsor,72.0,9.72,69492,0,-3.2526791241307595,-2.02787122134994,-0.5445539362553738,-0.45286412411682025,1.3534940872531194,-1.257
Barnet,Caledonia,135.0,39.26,62964,0,2.2203852530611807,-1.117921229253287,-1.1014340780207978,-0.5057372456791329,-0.25800964194296633,1.419
Barre,Washington,2199.0,26.38,77278,0,-2.085910230811466,5.0149211235598745,-1.0280516299699474,1.5437192078595698,0.6128769604765024,-1.01
Barton,Orleans,162.0,57.41,63981,0,4.655967657623328,-0.36223490644902734,0.6447067769127004,-0.22979466312203828,-0.1949534918468144,2.511
Bellows Falls,Windham,754.0,52.65,65473,0,3.3968008180292695,2.642482534617802,-0.7346171042440165,-0.6362564055583629,-1.5171173684100432,2.031
Bennington,Bennington,2354.0,50.17,68558,0,2.226408803216587,8.740967975516247,-1.9307241173442136,-1.0003169891688524,0.6225122522467884,1.527
Benson,Rutland,75.0,10.67,62641,0,-2.4300775113299644,-2.1352717465787494,-2.4171971107327,-0.8868645425270909,0.6117223560976495,-0.44
Berlin,Washington,194.0,35.57,77278,0,0.07954253660121186,-0.7177382160850929,1.1870599856235862,-0.09665975943624115,-0.14883050463121233,-0.4
Bethel,Windsor,269.0,49.44,69492,0,2.3518602931552657,2.6382646439487947,0.9360562395916745,0.214087306280602,2.1718094861010377,1.376
Bolton,Chittenden,82.0,20.73,89494,0,-3.1984268096974886,-1.1371028135115688,1.577204533278914,-0.4213030400406354,-0.2318602755113666,-2.729
Bradford,Orange,589.0,34.3,74534,0,-0.17452396208069287,0.773734647159986,0.7992590439962394,0.38620873427741104,0.017813864689963682,-0.182
Braintree,Orange,81.0,44.44,74534,0,1.628828741873742,-0.6733520654301791,1.687992856615559,-0.2845173190892783,0.2545996269663215,0.49
Brandon,Rutland,966.0,41.2,62641,0,1.5252206857319321,2.5171088492450813,-1.7135852936109142,0.9215898198779097,0.4258108669668739,1.584
Brattleboro,Windham,1854.0,42.34,65473,0,1.6068014910339121,8.447696844608016,-3.252282463595209,0.11001953028526303,2.51072233449651,1.348
Bridport,Addison,63.0,28.57,85870,0,-1.6535131309611635,-1.0543414031254004,2.7645521675052187,-0.03440158178364605,0.8743888301390891,-1.81
Bristol,Addison,1032.0,20.45,85870,0,-3.490593233575536,1.0837083652682686,1.6153649912884107,0.980986357064701,-0.33323949094811944,-2.349
Brookfield,Orange,71.0,21.13,74534,0,-1.8297346838568984,-1.5386004112445006,0.2684811076063074,-0.4617694719626595,0.7290961596526532,-1.056
Brownington,Orleans,107.0,60.75,63981,0,5.262034651644116,-0.37735865030641674,1.0223918331455757,-0.21859703748529896,-0.024061905668405888,2.732
Brownsville,Windsor,63.0,11.11,69492,0,-3.0975301498665293,-1.9752105314284112,-0.5750082573518472,-0.5561212386021924,1.2793587761125298,-1.165
