town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,anomaly,anomaly_score,PC1,PC2
Burlington,Chittenden,4,Lower Hardship - Urban Centers,48.29,3473.0,89494,1,-0.1641394534325027,-0.7480614773189177,12.312313712008574
Essex Junction,Chittenden,4,Lower Hardship - Urban Centers,16.38,3541.0,89494,1,-0.16161800705375184,-5.525495494759474,8.945322258277846
Saint Albans,Franklin,4,Lower Hardship - Urban Centers,28.72,3029.0,73633,1,-0.14523761850219652,-1.17617615496902,8.946275380589235
Brattleboro,Windham,4,Lower Hardship - Urban Centers,42.34,1854.0,65473,1,-0.09998774204739158,1.606801491033912,8.447696844608016
Plainfield,Washington,3,Moderate - Mixed Profile,33.09,414.0,77278,1,-0.07327303372886973,-0.4852746126690924,1.9469300412103503
Canaan,Essex,2,Elevated Hardship - Small Towns,31.36,169.0,55247,1,-0.06251192764542579,1.881368144075775,-2.243144938640216
Orleans,Orleans,1,High Hardship - Rural Poor,47.78,517.0,63981,1,-0.062067748854754634,3.269042420520147,3.345582048675938
South Burlington,Chittenden,4,Lower Hardship - Urban Centers,16.44,2700.0,89494,1,-0.056447602889254656,-5.119948529134428,5.221770682269338
Newport,Orleans,1,High Hardship - Rural Poor,58.75,994.0,63981,1,-0.042420508952453084,4.554740528827813,3.8813296806036353
Craftsbury Common,Orleans,2,Elevated Hardship - Small Towns,13.04,207.0,63981,1,-0.03942177584153217,-1.9508070351632787,-2.5707103136182377
Bennington,Bennington,4,Lower Hardship - Urban Centers,50.17,2354.0,68558,1,-0.034695347581663705,2.226408803216587,8.740967975516247
Danville,Caledonia,2,Elevated Hardship - Small Towns,23.43,350.0,62964,1,-0.021275484122757482,-0.2466812768240184,-1.9570597105574363
Alburg,Grand Isle,1,High Hardship - Rural Poor,67.53,194.0,86639,1,-0.020134704126297587,4.074744180812517,0.6053025149266745
Williston,Chittenden,5,Low Hardship - Affluent Areas,15.29,942.0,89494,1,-0.019253233044975726,-4.608096356000762,0.3895206774907527
