town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,hardship_score,PC1,PC2,PC3,PC4,PC5
Island Pond,Essex,1,High Hardship - Rural Poor,62.22,135.0,55247,3.791,6.378035185142563,-0.4722373777844314,-1.41297235221116,-0.7183873493486062,-1.0457159801482134
North Troy,Orleans,1,High Hardship - Rural Poor,75.4,187.0,63981,3.704,7.344300838978093,0.3296855762823582,1.795998130375666,-0.0048089261459753,-0.5693250752456718
Gilman,Essex,1,High Hardship - Rural Poor,55.0,60.0,55247,3.312,5.240738840563633,-0.8431931081012475,-2.0621276770967465,-1.1240429966951533,-0.8528721947580706
Wallingford,Rutland,1,High Hardship - Rural Poor,66.39,122.0,62641,3.254,5.933457995467507,-0.0601865327280839,1.1985687673793384,-0.2312377993816277,-0.4448173750414633
Lowell,Orleans,1,High Hardship - Rural Poor,68.6,86.0,63981,3.253,6.502226919848069,-0.1536988819557957,1.6275587379891792,-0.1260878871380467,-0.0510489899393282
Concord,Essex,1,High Hardship - Rural Poor,50.0,156.0,55247,2.981,4.435455425924663,-0.8338559533526884,-2.399220771723701,-0.928487397788337,-1.0040291609592735
Derby,Orleans,1,High Hardship - Rural Poor,62.74,263.0,63981,2.864,5.242418368141879,0.3334871288794067,0.9837699992394796,0.0027332627711215,-1.1603794166554515
Coventry,Orleans,1,High Hardship - Rural Poor,61.48,122.0,63981,2.781,5.360849561231781,-0.3192115354282717,1.0570636644831195,-0.1827101720693466,-0.0808387700087098
Brownington,Orleans,1,High Hardship - Rural Poor,60.75,107.0,63981,2.732,5.262034651644116,-0.3773586503064167,1.0223918331455757,-0.2185970374852989,-0.0240619056684058
Newport,Orleans,1,High Hardship - Rural Poor,58.75,994.0,63981,2.6,4.554740528827813,3.8813296806036353,-0.5841217234019521,1.7629066054197644,1.526584518143358
Newport Center,Orleans,1,High Hardship - Rural Poor,58.59,128.0,63981,2.589,4.843059924733973,-0.382852452758013,0.7055295913523291,-0.3204951135631173,-0.143800487162175
