town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Albany,Orleans,99.0,1,1,99.0,small,1,0,0,0,57.58,37.37,20.2,57.57575757575758,,,0.0,0.0,57.6,57.6,9.8,63981,13.7,47.78,1,-0.873,1.649,2.522,1,0,0
Alburg,Grand Isle,194.0,1,1,194.0,small,1,0,0,0,67.53,53.09,14.43,67.5257731958763,,,0.0,0.0,67.5,67.5,7.4,86639,9.7,60.13,1,1.621,2.309,0.688,1,0,0
Arlington,Bennington,489.0,3,0,163.0,medium,2,0,1,0,33.95,25.56,8.38,32.52595155709342,,36.0,4.09,3.6,32.4,36.0,11.2,68558,14.9,22.75,1,-0.369,0.082,0.451,0,0,0
Ascutney,Windsor,262.0,1,1,262.0,medium,1,0,0,0,28.63,18.32,10.31,28.62595419847328,,,0.0,0.0,28.6,28.6,8.7,69492,9.0,19.93,1,-0.267,-0.27,-0.003,0,0,0
Bakersfield,Franklin,144.0,1,1,144.0,small,1,0,0,0,36.11,22.92,13.19,36.11111111111111,,,0.0,0.0,36.1,36.1,10.4,73633,11.6,25.71,1,0.189,0.226,0.037,0,0,0
Barnard,Windsor,72.0,1,1,72.0,small,1,0,0,0,9.72,4.17,5.56,9.722222222222223,,,0.0,0.0,9.7,9.7,8.7,69492,9.0,1.02,1,-0.267,-1.524,-1.257,0,0,0
Barnet,Caledonia,135.0,1,1,135.0,small,1,0,0,0,39.26,27.41,11.85,39.25925925925926,,,0.0,0.0,39.3,39.3,11.8,62964,14.1,27.46,1,-0.985,0.434,1.419,0,0,0
Barre,Washington,2199.0,3,0,733.0,very_large,2,0,1,0,26.38,24.06,2.32,28.59848484848485,,20.650406504065042,123.34,20.2,18.6,38.8,9.9,77278,10.3,16.48,1,0.59,-0.42,-1.01,0,0,0
Barton,Orleans,162.0,1,1,162.0,small,1,0,0,0,57.41,48.77,8.64,57.407407407407405,,,0.0,0.0,57.4,57.4,9.8,63981,13.7,47.61,1,-0.873,1.638,2.511,1,0,0
Bellows Falls,Windham,754.0,3,0,251.33,large,1,1,1,0,52.65,42.57,10.08,54.63917525773196,55.371900826446286,49.37106918238994,10.61,6.0,49.4,55.4,12.6,65473,13.5,40.05,1,-0.709,1.322,2.031,1,0,0
Bennington,Bennington,2354.0,6,0,392.33,very_large,4,1,1,0,50.17,44.86,5.31,58.05739514348785,52.87356321839081,40.92872570194385,141.16,30.8,34.9,65.7,11.2,68558,14.9,38.97,1,-0.369,1.158,1.527,1,0,0
Benson,Rutland,75.0,1,1,75.0,small,1,0,0,0,10.67,9.33,1.33,10.666666666666668,,,0.0,0.0,10.7,10.7,11.4,62641,10.6,-0.73,0,-1.021,-1.461,-0.44,0,0,0
Berlin,Washington,194.0,1,1,194.0,small,1,0,0,0,35.57,28.87,6.7,35.56701030927835,,,0.0,0.0,35.6,35.6,9.9,77278,10.3,25.67,1,0.59,0.19,-0.4,0,0,0
Bethel,Windsor,269.0,2,0,134.5,medium,1,1,0,0,49.44,43.87,5.58,41.48148148148148,57.46268656716418,,128.0,16.0,41.5,57.5,8.7,69492,9.0,40.74,1,-0.267,1.109,1.376,0,0,0
