school_name,lea_name,town,enrollment,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,school_level,frl_pct
Albany Community School,Lake Region Union Elementary Middle School District,Albany,99.0,37.0,20.0,57.0,1,57.6
Alburg Community Education Center,Alburg School District,Alburg,194.0,103.0,28.0,131.0,1,67.5
Fisher School,Arlington School District,Arlington,221.0,61.0,11.0,72.0,1,32.6
Sunderland Elementary School,Taconic and Green Regional School District #63,Arlington,68.0,14.0,8.0,22.0,1,32.4
Arlington Memorial,Arlington School District,Arlington,200.0,50.0,22.0,72.0,3,36.0
Weathersfield School,Weathersfield School District,Ascutney,262.0,48.0,27.0,75.0,1,28.6
Bakersfield School,Northern Mountain Valley Unified Union School District #85,Bakersfield,144.0,33.0,19.0,52.0,1,36.1
Barnard Academy,Windsor Central Unified Union School District #76,Barnard,72.0,3.0,4.0,7.0,1,9.7
Barnet Elementary School,Caledonia Cooperative Unified School District #78,Barnet,135.0,37.0,16.0,53.0,1,39.3
Spaulding Union High School,Barre Unified Union School District #97,Barre,615.0,113.0,14.0,127.0,3,20.7
Barre City Elementary/Middle School,Barre Unified Union School District #97,Barre,784.0,302.0,2.0,304.0,1,38.8
Barre Town Elementary & Middle School,Barre Unified Union School District #97,Barre,800.0,114.0,35.0,149.0,1,18.6
Barton Graded School,Lake Region Union Elementary Middle School District,Barton,162.0,79.0,14.0,93.0,1,57.4
Central Elementary School,Rockingham School District,Bellows Falls,194.0,85.0,21.0,106.0,1,54.6
Bellows Falls Union High School,Bellows Falls Union High School District #27,Bellows Falls,318.0,129.0,28.0,157.0,3,49.4
Bellows Falls Middle School,Rockingham School District,Bellows Falls,242.0,107.0,27.0,134.0,2,55.4
Mt. Anthony Union Middle School,Mount Anthony Union High School District #14,Bennington,522.0,247.0,29.0,276.0,2,52.9
Southwest Tech,Southwest Tech,Bennington,0.0,,,,3,
Woodford Hollow School,Southwest Vermont Union Elementary School District #87,Bennington,28.0,15.0,1.0,16.0,1,57.1
Monument Elementary School,Southwest Vermont Union Elementary School District #87,Bennington,149.0,42.0,10.0,52.0,1,34.9
Molly Stark School,Southwest Vermont Union Elementary School District #87,Bennington,417.0,229.0,24.0,253.0,1,60.7
Bennington Elementary School,Southwest Vermont Union Elementary School District #87,Bennington,312.0,193.0,12.0,205.0,1,65.7
Mt. Anthony Senior Union High School,Mount Anthony Union High School District #14,Bennington,926.0,330.0,49.0,379.0,3,40.9
Benson Village School,Slate Valley Unified Union School District #62,Benson,75.0,7.0,1.0,8.0,1,10.7
